INFO  - 2018-06-21 15:47:36.284; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdlSingleFollowUp
INFO  - 2018-06-21 15:47:36.345; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-21 15:47:37.944; payhost.SOAPClient; Response SOAP Message : com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@4cf777e8
INFO  - 2018-06-21 15:49:34.268; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.transSingleFollowUp
INFO  - 2018-06-21 15:49:34.326; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-21 15:49:46.271; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdlSingleFollowUp
INFO  - 2018-06-21 15:49:46.326; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-21 15:49:47.948; payhost.SOAPClient; Response SOAP Message : com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@4cf777e8
INFO  - 2018-06-21 15:51:28.308; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdlSingleFollowUp
INFO  - 2018-06-21 15:51:28.361; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-21 15:51:29.976; payhost.SOAPClient; Response SOAP Message : com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@4cf777e8
INFO  - 2018-06-21 16:07:49.993; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdlSingleFollowUp
